,ID,Gender,DOB,10percentage,10board,12graduation,12percentage,12board,CollegeID,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityID,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Salary
86,1076441,m,6/20/1991,88.1,state board,2009,91.1,state board,15854,2,B.Tech/B.E.,electronics and communication engineering,68.2,15854,1,Telangana,2013,535,435,500,0.20739217,305,260,-1,-1,-1,-1,-1,-0.159,0.8784,0.4711,0.2727,0.6721,315000
88,330813,f,5/31/1990,82.3,ssc,2007,96.6,intermediate board,9557,2,B.Tech/B.E.,electronics and communication engineering,83.0,9557,1,Telangana,2012,445,565,615,0.694479328,-1,366,-1,-1,-1,-1,-1,1.1283,1.1248,-0.344,-0.40777,0.8973,310000
89,1072316,m,10/15/1990,78.0,cbse,2009,68.0,cbse,1388,1,B.Tech/B.E.,electronics and electrical engineering,72.3,1388,0,Haryana,2013,510,590,510,0.783303537,395,388,-1,-1,-1,-1,-1,0.8463,-0.4536,0.3174,-0.995,0.0973,375000
92,435378,m,4/8/1990,82.0,0,2008,62.3,0,11982,2,B.Tech/B.E.,mechanical engineering,61.0,11982,0,Orissa,2012,565,475,464,0.068445751,-1,-1,-1,254,-1,-1,-1,-1.4992,-1.2153,-0.9245,-0.5253,-1.8278,360000
93,108999,f,2/26/1987,58.56,kseeb,2006,73.0,"directorate of technical education,banglore",1279,2,B.Tech/B.E.,electronics and communication engineering,61.8,1279,0,Karnataka,2010,445,465,565,0.376059587,375,300,-1,-1,-1,-1,-1,0.3555,0.6568,0.9623,0.6498,0.5024,260000
97,134985,m,10/23/1983,75.0,wbbse,2002,61.7,wbchse,1424,2,MCA,computer application,79.0,1424,0,West Bengal,2010,365,365,425,0.377551419,375,-1,-1,-1,-1,-1,-1,-0.4173,-0.1232,-0.0537,-0.4078,-0.1295,310000
98,1062180,m,6/28/1991,74.0,cbse,2009,66.8,cbse,13801,2,B.Tech/B.E.,electronics and communication engineering,68.9,13801,0,Madhya Pradesh,2013,535,505,510,0.338786347,-1,292,-1,-1,-1,-1,-1,-0.5899,-2.2851,-0.7585,0.0192,-2.5853,80000
100,333542,f,11/12/1990,84.5,ssc,2008,94.1,board of intermediate education,11168,2,B.Tech/B.E.,information technology,70.95,11168,1,Telangana,2012,485,445,575,0.413838256,385,-1,-1,-1,-1,-1,-1,-0.4173,0.1888,0.5269,-1.1422,0.0284,400000
101,619605,m,6/28/1991,89.4,cbse,2009,75.6,state board,275,2,B.Tech/B.E.,mechanical engineering,82.53,275,1,Karnataka,2013,590,610,635,0.840840969,-1,-1,-1,473,-1,-1,-1,0.8463,0.0459,0.7785,-1.8824,0.4805,475000
102,921298,m,5/28/1993,76.2,cbse,2010,88.0,state board,1577,2,B.Tech/B.E.,information technology,69.8,1577,0,Tamil Nadu,2014,450,510,620,0.744758354,315,-1,438,-1,-1,-1,-1,1.4208,-0.1206,0.4711,-1.3753,1.6302,180000
103,343541,f,2/2/1991,85.33,cbse,2008,78.2,cbse,11368,2,B.Tech/B.E.,electronics and communication engineering,77.25,11368,0,Uttar Pradesh,2012,605,404,454,0.824666401,-1,400,407,-1,-1,-1,-1,1.0896,1.5928,0.672,-1.05407,0.1864,250000
104,1284293,m,6/20/1992,72.0,cbse,2010,64.0,cbse,17782,2,MCA,computer application,72.0,17782,0,Uttarakhand,2015,490,410,485,0.450876584,395,-1,-1,-1,-1,-1,-1,1.1336,0.3789,-0.1437,-0.8682,-0.4776,150000
105,53838,m,6/12/1987,45.6,bse,2007,73.6,chse,1268,2,MCA,computer application,85.2,1268,0,Orissa,2010,365,385,454,0.765673581,485,-1,-1,-1,-1,-1,-1,0.6646,0.3448,-1.0697,0.2973,-0.9194,100000
106,1261333,m,5/16/1992,86.5,state board,2010,82.5,state board,473,2,B.Tech/B.E.,information technology,61.86,473,1,Maharashtra,2014,490,395,485,0.911395278,425,-1,500,-1,-1,-1,-1,-0.0154,-0.6201,-0.2974,0.7798,-1.8189,300000
107,52923,m,8/16/1989,75.83,ssc,2006,68.83,hsc,472,2,B.Tech/B.E.,information technology,55.6,472,1,Maharashtra,2010,525,575,655,0.901489571,545,-1,-1,-1,-1,-1,-1,-2.8903,1.2808,0.8171,-0.8778,0.3444,465000
108,332800,m,7/10/1990,69.4,up board,2007,63.0,up board,7600,2,B.Tech/B.E.,electronics and communication engineering,61.0,7600,0,Uttar Pradesh,2013,375,465,265,0.023312168,-1,166,-1,-1,-1,260,-1,-1.1901,0.1888,-1.5051,-1.34787,-0.7615,200000
110,196482,m,9/16/1989,85.0,0,2006,73.8,0,115,2,B.Tech/B.E.,electronics and communication engineering,77.0,115,0,Punjab,2011,505,485,615,0.824666401,405,400,-1,-1,-1,-1,-1,-0.5719,-1.0593,-0.1988,1.1199,1.1343,400000
111,110863,m,8/4/1988,85.6,ssc,2006,90.6,board of intermediate,964,2,B.Tech/B.E.,electronics and communication engineering,68.4,964,1,Telangana,2010,395,425,575,0.229481755,435,266,-1,-1,-1,-1,-1,0.8192,0.5008,0.3817,-0.0552,-0.2875,720000
112,79007,m,8/26/1987,80.6,icse,2005,91.0,icse,137,2,B.Tech/B.E.,information technology,73.06,137,0,Uttar Pradesh,2010,485,505,375,0.635978756,445,-1,-1,-1,-1,-1,-1,0.51,1.7488,0.2366,-1.2303,0.9763,505000
113,263901,f,1/16/1990,78.0,0,2007,68.0,0,2513,2,B.Tech/B.E.,computer engineering,68.0,2513,0,Rajasthan,2011,365,515,645,0.979521744,625,-1,-1,-1,-1,-1,-1,-0.881,0.5008,0.9623,-0.7603,-0.1295,380000
115,111273,m,11/5/1988,89.56,gseb,2006,85.0,gsheb,992,2,B.Tech/B.E.,electronics and communication engineering,67.45,992,1,Gujarat,2010,485,315,545,0.694479328,345,366,-1,-1,-1,-1,-1,-3.0448,-1.0593,-0.6343,0.7673,0.1864,290000
117,30122,m,7/20/1985,51.0,up board,2004,48.0,up board,350,2,MCA,computer application,59.0,350,0,Uttar Pradesh,2010,275,365,395,0.525922584,415,-1,-1,-1,-1,-1,-1,0.2009,-0.2793,0.2366,1.4724,0.0284,100000
118,920332,m,9/3/1991,60.7,state board,2008,65.66,state board,55,2,MCA,computer application,77.7,55,0,Uttar Pradesh,2014,545,535,470,-1.0,-1,-1,-1,-1,-1,-1,-1,0.1282,1.0449,-0.2974,-0.995,0.4805,230000
119,282000,m,3/23/1989,76.0,uttar pradesh board,2006,75.0,uttar pradesh board,4450,2,B.Tech/B.E.,information technology,65.48,4450,0,Uttar Pradesh,2011,375,535,575,0.600057182,435,-1,-1,-1,-1,-1,-1,0.6646,-0.1232,1.5428,0.0623,0.3444,315000
120,1083018,m,8/25/1992,91.0,cbse,2010,91.2,cbse,2921,2,B.Tech/B.E.,electronics and communication engineering,86.0,2921,0,West Bengal,2014,675,655,585,0.783303537,485,388,-1,-1,-1,-1,-1,0.8463,0.8784,-0.1437,-0.7415,-1.0524,615000
122,810018,m,9/21/1992,63.0,icse,2010,62.0,cbse,350,2,B.Tech/B.E.,information technology,62.44,350,0,Uttar Pradesh,2014,380,510,515,0.635978756,445,-1,-1,-1,-1,-1,-1,-1.4517,-1.2861,-0.1437,1.1601,-1.4356,180000
123,1262987,m,12/4/1992,63.0,state board,2010,63.0,state board,15807,2,B.Tech/B.E.,mechanical engineering,63.0,15807,1,Telangana,2014,300,435,390,0.032937018,-1,-1,-1,223,-1,-1,-1,1.8517,-0.2871,1.0859,1.6672,-0.2859,260000
125,281866,m,6/25/1988,81.8,cbse,2006,71.8,cbse,4450,2,B.Tech/B.E.,electronics and electrical engineering,64.5,4450,0,Uttar Pradesh,2011,415,525,625,0.824666401,-1,400,-1,-1,-1,366,-1,-1.8083,-0.2793,-0.6343,0.0623,-0.1295,170000
126,1098849,m,11/5/1991,75.85,state board,2009,77.2,state board,992,2,B.Tech/B.E.,information technology,80.0,992,1,Gujarat,2013,525,530,520,0.979521744,625,-1,-1,-1,-1,-1,-1,-0.159,0.8784,1.0859,-0.995,1.0554,180000
127,827639,m,2/1/1993,91.6,cbse,2010,85.6,cbse,47,1,B.Tech/B.E.,electronics and communication engineering,72.7,47,1,Delhi,2014,590,575,635,0.649389715,525,356,-1,-1,-1,-1,-1,1.1336,0.5454,0.01,-2.0092,0.8637,340000
128,133296,m,12/20/1988,66.0,rbse,2006,55.0,rbse,4948,2,B.Tech/B.E.,computer engineering,66.0,4948,1,Rajasthan,2010,405,585,415,0.600057182,435,-1,-1,-1,-1,-1,-1,-1.0355,0.5008,-0.0537,1.4724,1.4502,145000
129,878844,m,3/18/1993,50.0,cbse,2010,57.0,cbse,9738,2,B.Tech/B.E.,information technology,65.06,9738,0,Uttar Pradesh,2014,395,425,425,0.744758354,385,-1,438,-1,-1,-1,-1,0.4155,-0.6504,0.3034,0.653,-0.4392,120000
130,295362,f,7/25/1989,89.2,matriculation,2007,86.25,state board,1034,2,B.Tech/B.E.,electronics and communication engineering,76.0,1034,0,Tamil Nadu,2011,465,595,575,0.376059587,395,300,-1,-1,-1,313,-1,0.3555,0.9688,0.3817,-1.3478,0.1864,180000
131,811394,m,4/22/1990,93.8,cbse,2009,76.0,cbse,47,1,B.Tech/B.E.,electronics and communication engineering,72.5,47,1,Delhi,2014,615,415,680,0.338786347,425,292,-1,-1,-1,393,-1,1.5644,1.5444,1.8543,-0.3612,0.0973,325000
132,879261,m,3/24/1987,76.66,state board,2004,64.33,state board,3496,2,B.Tech/B.E.,mechanical engineering,72.02,3496,0,Maharashtra,2012,615,525,430,0.328746379,-1,-1,-1,346,-1,-1,-1,-0.5899,0.5454,0.3174,-0.7415,-0.8608,95000
133,530147,m,11/7/1993,90.4,cbse,2009,84.6,cbse,11759,2,B.Tech/B.E.,mechanical engineering,83.5,11759,0,Uttarakhand,2013,430,375,530,0.986525019,-1,-1,-1,580,-1,-1,-1,-1.8083,-1.9953,-2.521,1.0747,-2.0253,205000
135,1290109,m,11/4/1990,82.67,state board,2008,74.92,state board,12737,2,B.Tech/B.E.,computer engineering,61.36,12737,1,Rajasthan,2014,580,470,425,0.911395278,535,-1,500,-1,-1,-1,-1,1.7081,1.0449,1.547,0.0192,0.6721,215000
136,729532,m,8/11/1991,94.16,state board,2009,95.5,state board,11000,2,B.Tech/B.E.,electronics and communication engineering,83.62,11000,1,Telangana,2013,380,475,575,0.538386893,375,333,-1,-1,473,-1,-1,0.8463,1.2114,0.1637,-0.7415,1.0554,200000
138,390616,m,10/7/1990,61.73,ssc,2008,60.0,hsc,7495,2,B.Tech/B.E.,computer engineering,63.33,7495,0,Maharashtra,2012,455,395,385,0.308400583,355,366,-1,-1,-1,-1,-1,-0.2628,-0.4353,1.2525,0.0623,-0.9194,190000
139,283428,m,4/5/1990,78.0,cbse,2007,63.0,cbse,374,2,B.Tech/B.E.,information technology,68.1,374,0,Uttar Pradesh,2011,454,535,464,0.765673581,485,-1,-1,-1,-1,-1,-1,-1.0355,0.8128,-1.2148,1.0024,1.6082,520000
140,64844,m,7/10/1987,74.0,karnataka secondary education board,2005,64.0,pre-university board,1109,2,B.Tech/B.E.,electronics and communication engineering,53.0,1109,1,Karnataka,2010,445,455,405,0.538386893,325,333,-1,366,-1,-1,340,1.1283,-0.4353,0.3817,0.1798,0.5024,335000
141,359993,m,5/20/1990,72.0,state board,2007,60.0,state board,1245,2,B.Tech/B.E.,computer engineering,64.0,1245,1,Tamil Nadu,2012,345,375,315,0.3423149,365,-1,-1,-1,-1,-1,-1,-1.1128,-1.3713,-0.344,1.1492,-2.6572,220000
143,239715,m,12/1/1989,89.4,cbse,2006,68.0,cbse,1866,2,B.Tech/B.E.,electronics and communication engineering,68.3,1866,1,Karnataka,2011,635,525,525,0.694479328,385,366,-1,-1,-1,313,-1,0.0464,0.3448,0.9623,-0.2902,0.5024,445000
144,831320,m,5/20/1993,87.7,state board,2010,95.2,state board,9748,2,B.Tech/B.E.,information technology,69.96,9748,1,Telangana,2014,450,555,445,0.744758354,455,-1,438,-1,-1,-1,-1,-0.159,-0.4536,0.9322,-0.2344,-0.6692,200000
145,601131,m,3/25/1991,88.0,cbse,2008,78.0,cbse,272,2,B.Tech/B.E.,electronics and communication engineering,87.9,272,0,Punjab,2013,545,605,575,0.824666401,535,400,-1,-1,-1,-1,-1,-3.0315,-2.1186,-1.0659,0.3995,-1.6273,420000
147,324330,m,1/22/1990,77.6,maharastra board,2008,59.0,maharashtra board,993,2,B.Tech/B.E.,information technology,58.66,993,1,Maharashtra,2012,405,585,334,0.308400583,355,-1,-1,-1,-1,-1,-1,0.0464,0.9688,-0.1988,-0.7015,-1.2354,120000
149,305041,f,1/18/1990,89.8,cbse,2007,83.8,cbse,5232,2,B.Tech/B.E.,computer engineering,70.0,5232,0,Haryana,2011,535,455,525,0.843123727,515,-1,-1,-1,-1,-1,-1,-0.2628,0.1888,0.3817,-0.2902,1.6082,480000
151,327623,m,9/27/1990,84.0,cbse,2008,83.0,cbse,7542,2,B.Tech/B.E.,information technology,74.5,7542,1,Delhi,2012,725,465,555,0.600057182,435,-1,-1,-1,-1,-1,-1,-0.4173,0.7348,-0.0537,-0.52527,-0.4455,450000
152,360992,f,10/24/1990,91.0,state board,2008,80.0,state board,2342,2,B.Tech/B.E.,electronics and communication engineering,76.0,2342,1,Tamil Nadu,2012,535,475,415,0.538386893,-1,333,-1,-1,-1,286,-1,-0.5719,-0.1232,0.3817,-0.5253,0.5419,235000
